lexeme,synset,has_consecutive_test,consecutive_pvalue,consecutive_significant,has_pairwise_test,num_significant_pairs,max_drift_magnitude,min_pvalue,num_drift_events,max_impact_duration,total_timespans,drift_event_types,affected_timespans,result_path,num_dimensions,any_significant
block,s107180,True,0.148,False,True,13,5.6123717637856165,0.0,4,4,12,"consecutive,sudden_shift","1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",results/xl-lexeme/lexemes/block/s107180,1024.0,True
block,s9544,True,0.104,False,True,9,16.61043376642507,0.0,3,4,9,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1961-1970,1991-2000,2001-2010",results/xl-lexeme/lexemes/block/s9544,1024.0,True
klappe,s6029,True,0.001,True,True,26,6.26874734534699,0.0,3,10,17,consecutive,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/klappe/s6029,1024.0,True
klappe,s25993,True,0.069,False,True,44,4.333108953731903,0.0,6,9,18,"consecutive,sudden_shift","1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/klappe/s25993,1024.0,True
pinsel,s8330,True,0.0,False,True,30,6.989128928219398,0.0,6,6,16,"consecutive,sudden_shift","1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018",results/xl-lexeme/lexemes/pinsel/s8330,1024.0,True
maske,s106689,True,0.607,False,True,1,3.787307999987628,0.042,1,5,2,sudden_shift,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970",results/xl-lexeme/lexemes/maske/s106689,1024.0,True
decke,s10206,True,0.275,False,True,6,4.215877778641149,0.009,5,9,8,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/decke/s10206,1024.0,True
decke,s73206,True,0.552,False,True,1,10.237672043088937,0.027,1,4,2,sudden_shift,"1951-1960,1961-1970,1971-1980,1981-1990",results/xl-lexeme/lexemes/decke/s73206,1024.0,True
decke,s7419,True,0.587,False,True,4,4.273296134380776,0.018,4,10,5,sudden_shift,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/decke/s7419,1024.0,True
pflaster,s7930,True,0.003,True,True,26,14.250032398473447,0.0,5,6,16,"consecutive,sudden_shift","1911-1920,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/pflaster/s7930,1024.0,True
pflaster,s47771,True,0.008,True,True,32,3.906708925178103,0.0,5,3,20,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/pflaster/s47771,1024.0,True
virus,s50968,True,0.009,True,True,33,3.321189650385899,0.0,4,7,16,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/virus/s50968,1024.0,True
virus,s64010,True,0.155,False,True,5,15.23215520033624,0.001,2,3,7,consecutive,"1981-1990,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/virus/s64010,1024.0,True
kartenspiel,s25671,True,0.026,True,False,0,,,0,0,0,,,results/xl-lexeme/lexemes/kartenspiel/s25671,1024.0,True
kartenspiel,s11135,True,0.083,False,True,17,8.148672109244197,0.0,4,5,15,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/kartenspiel/s11135,1024.0,True
gesichtsmaske,s63142,True,0.477,False,True,3,5.193572600203633,0.01,2,2,4,consecutive,"2001-2010,2011-2018",results/xl-lexeme/lexemes/gesichtsmaske/s63142,1024.0,True
fuß,s26149,True,0.32,False,True,31,5.020182622425914,0.0,25,10,17,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/fuß/s26149,1024.0,True
fuß,s110427,True,0.114,False,True,2,7.076374727267168,0.022,2,4,3,sudden_shift,"1911-1920,1921-1930,1931-1940,1941-1950",results/xl-lexeme/lexemes/fuß/s110427,1024.0,True
flügel,s12102,True,0.696,False,True,2,9.252800604909336,0.039,2,9,4,"consecutive,sudden_shift","1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/flügel/s12102,1024.0,True
flügel,s26446,True,0.076,False,True,8,6.298384207977449,0.003,2,2,10,consecutive,"1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/flügel/s26446,1024.0,True
flügel,s11625,True,0.685,False,True,3,9.70284919180649,0.011,3,6,5,sudden_shift,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/flügel/s11625,1024.0,True
flügel,s73683,True,0.966,False,True,3,19.3161613916961,0.0,3,7,4,sudden_shift,"1921-1930,1931-1940,1961-1970,1971-1980,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/flügel/s73683,1024.0,True
flügel,s23151,True,0.643,False,True,17,6.407665589902131,0.001,17,11,14,sudden_shift,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/flügel/s23151,1024.0,True
flügel,s9697,True,0.038,True,True,23,12.360468523950074,0.001,8,5,16,"consecutive,sudden_shift","1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/flügel/s9697,1024.0,True
kurs,s13438,True,0.1,False,True,20,7.251664979045709,0.0,8,6,18,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/kurs/s13438,1024.0,True
kurs,s41951,True,0.625,False,True,6,3.991500833882892,0.006,6,8,6,sudden_shift,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/kurs/s41951,1024.0,True
kurs,s41895,True,0.013,True,True,22,7.424441837784545,0.0,9,5,17,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/kurs/s41895,1024.0,True
kurs,s30016,True,0.024,True,True,18,4.758711725317287,0.0,8,6,18,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010",results/xl-lexeme/lexemes/kurs/s30016,1024.0,True
klima,s41205,True,0.153,False,True,29,6.079815713696625,0.0,13,8,14,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/klima/s41205,1024.0,True
tor,s10304,True,0.014,True,True,35,3.838560192095685,0.0,12,8,17,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/tor/s10304,1024.0,True
tor,s10313,True,0.088,False,True,2,11.199837895299977,0.044,2,6,3,sudden_shift,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",results/xl-lexeme/lexemes/tor/s10313,1024.0,True
tor,s33154,True,0.026,True,True,8,10.458712046955204,0.0,4,5,9,"consecutive,sudden_shift","1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/tor/s33154,1024.0,True
tor,s37889,True,0.011,True,True,7,12.49444025984889,0.015,3,6,8,"consecutive,sudden_shift","1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",results/xl-lexeme/lexemes/tor/s37889,1024.0,True
schimmel,s50922,True,0.165,False,True,11,6.254559340126873,0.0,6,8,10,"consecutive,sudden_shift","1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/schimmel/s50922,1024.0,True
schimmel,s47572,True,0.045,True,True,13,6.580202719086882,0.0,13,11,9,sudden_shift,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/schimmel/s47572,1024.0,True
richtung,s27305,True,0.608,False,True,3,3.667345951077174,0.001,3,7,4,sudden_shift,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018",results/xl-lexeme/lexemes/richtung/s27305,1024.0,True
richtung,s41895,True,0.001,True,True,25,6.034969087149498,0.0,7,10,17,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018",results/xl-lexeme/lexemes/richtung/s41895,1024.0,True
bank,s69017,True,0.762,False,True,1,10.500944032243687,0.008,1,6,2,sudden_shift,"1921-1930,1931-1940,1971-1980,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/bank/s69017,1024.0,True
bank,s9650,True,0.564,False,True,5,8.16494528877257,0.004,3,9,6,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",results/xl-lexeme/lexemes/bank/s9650,1024.0,True
bank,s25245,True,0.0,False,True,56,3.076667625221273,0.0,6,9,20,consecutive,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/bank/s25245,1024.0,True
bank,s6399,True,0.386,False,True,17,7.929170778872793,0.0,4,4,13,"consecutive,sudden_shift","1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/bank/s6399,1024.0,True
zeitung,s10649,True,0.221,False,True,25,3.344706116462418,0.0,10,10,16,"consecutive,sudden_shift","1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/zeitung/s10649,1024.0,True
zeitung,s29644,True,0.027,True,True,26,5.552719131784133,0.0,9,7,16,"consecutive,sudden_shift","1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/zeitung/s29644,1024.0,True
