lexeme,synset,has_consecutive_test,consecutive_pvalue,consecutive_significant,has_pairwise_test,num_significant_pairs,max_drift_magnitude,min_pvalue,num_drift_events,max_impact_duration,total_timespans,drift_event_types,affected_timespans,result_path,num_dimensions,any_significant
kartenspiel,s25671,True,0.686,False,True,1,9.68265781204028,0.004,1,9,2,sudden_shift,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",results/BGE-M3/lexemes/kartenspiel/s25671,1024.0,True
kartenspiel,s11135,True,0.216,False,True,17,8.797231234849663,0.0,4,6,13,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/BGE-M3/lexemes/kartenspiel/s11135,1024.0,True
gesichtsmaske,s63142,True,0.528,False,True,1,13.69966672808486,0.021,1,6,2,sudden_shift,"1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/BGE-M3/lexemes/gesichtsmaske/s63142,1024.0,True
fuß,s6390,True,0.016,True,False,0,,,0,0,0,,,results/BGE-M3/lexemes/fuß/s6390,1024.0,True
fuß,s26149,True,0.063,False,True,34,6.011881919691305,0.0,4,4,19,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,2001-2010,2011-2018",results/BGE-M3/lexemes/fuß/s26149,1024.0,True
fuß,s110427,True,0.698,False,True,5,13.442922616961802,0.02,5,8,7,sudden_shift,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",results/BGE-M3/lexemes/fuß/s110427,1024.0,True
flügel,s73727,True,0.042,True,False,0,,,0,0,0,,,results/BGE-M3/lexemes/flügel/s73727,1024.0,True
flügel,s12102,True,0.297,False,True,9,14.74179969452387,0.003,3,6,8,"consecutive,sudden_shift","1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/BGE-M3/lexemes/flügel/s12102,1024.0,True
flügel,s26446,True,0.009,True,True,14,7.996616021918119,0.0,4,6,14,"consecutive,sudden_shift","1911-1920,1921-1930,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/BGE-M3/lexemes/flügel/s26446,1024.0,True
flügel,s11625,True,0.725,False,True,1,13.195898764280097,0.035,1,3,2,sudden_shift,"1931-1940,1941-1950,1951-1960",results/BGE-M3/lexemes/flügel/s11625,1024.0,True
flügel,s73683,True,0.851,False,True,4,16.050740876237246,0.0,4,7,5,sudden_shift,"1921-1930,1931-1940,1961-1970,1971-1980,1991-2000,2001-2010,2011-2018",results/BGE-M3/lexemes/flügel/s73683,1024.0,True
flügel,s23151,True,0.347,False,True,23,11.20821478950766,0.0,23,11,15,sudden_shift,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/BGE-M3/lexemes/flügel/s23151,1024.0,True
flügel,s9697,True,0.554,False,True,9,10.63574155545576,0.0,3,2,9,consecutive,"1921-1930,1991-2000,2001-2010,2011-2018",results/BGE-M3/lexemes/flügel/s9697,1024.0,True
kurs,s13438,True,0.002,True,True,33,10.555657528312205,0.0,6,8,20,"consecutive,sudden_shift","1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/BGE-M3/lexemes/kurs/s13438,1024.0,True
kurs,s41951,True,0.398,False,True,15,11.280283320738514,0.0,11,7,12,"consecutive,sudden_shift","1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/BGE-M3/lexemes/kurs/s41951,1024.0,True
kurs,s41895,True,0.044,True,True,36,10.50964290415608,0.0,13,7,19,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/BGE-M3/lexemes/kurs/s41895,1024.0,True
kurs,s30016,True,0.009,True,True,23,8.797290701097511,0.0,3,1,15,consecutive,"1951-1960,1991-2000,2001-2010",results/BGE-M3/lexemes/kurs/s30016,1024.0,True
klima,s14251,True,0.021,True,True,20,19.40720352966768,0.0,7,4,13,"consecutive,sudden_shift","1951-1960,1961-1970,1971-1980,1991-2000,2001-2010,2011-2018",results/BGE-M3/lexemes/klima/s14251,1024.0,True
klima,s41205,True,0.026,True,True,42,10.403959967505898,0.0,8,6,18,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",results/BGE-M3/lexemes/klima/s41205,1024.0,True
tor,s10304,True,0.0,False,True,48,5.425090706233284,0.0,6,7,20,"consecutive,sudden_shift","1911-1920,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/BGE-M3/lexemes/tor/s10304,1024.0,True
tor,s33154,True,0.027,True,True,29,15.255788332694982,0.0,5,5,16,consecutive,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/BGE-M3/lexemes/tor/s33154,1024.0,True
tor,s37889,True,0.024,True,True,14,14.912479587389898,0.001,5,6,12,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/BGE-M3/lexemes/tor/s37889,1024.0,True
schimmel,s50922,True,0.245,False,True,19,7.7883764752696445,0.0,7,7,13,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",results/BGE-M3/lexemes/schimmel/s50922,1024.0,True
schimmel,s47572,True,0.61,False,True,10,9.450316145828934,0.0,10,10,10,sudden_shift,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/BGE-M3/lexemes/schimmel/s47572,1024.0,True
richtung,s27305,True,0.11,False,True,12,8.576623307370056,0.0,6,5,12,"consecutive,sudden_shift","1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018",results/BGE-M3/lexemes/richtung/s27305,1024.0,True
richtung,s41895,True,0.0,False,True,35,9.86066623737456,0.0,7,10,17,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018",results/BGE-M3/lexemes/richtung/s41895,1024.0,True
bank,s69017,True,0.222,False,True,2,14.599171381780373,0.004,2,6,3,sudden_shift,"1921-1930,1931-1940,1971-1980,1991-2000,2001-2010,2011-2018",results/BGE-M3/lexemes/bank/s69017,1024.0,True
bank,s9650,True,0.009,True,True,18,18.687376504588418,0.002,10,9,13,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/BGE-M3/lexemes/bank/s9650,1024.0,True
bank,s25245,True,0.0,False,True,62,4.496262677138628,0.0,9,9,21,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/BGE-M3/lexemes/bank/s25245,1024.0,True
bank,s6399,True,0.133,False,True,34,13.828153363532286,0.0,7,7,15,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/BGE-M3/lexemes/bank/s6399,1024.0,True
zeitung,s10649,True,0.0,False,True,39,6.625396876836481,0.0,14,10,18,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/BGE-M3/lexemes/zeitung/s10649,1024.0,True
zeitung,s29644,True,0.0,False,True,44,9.83475028095333,0.0,6,10,21,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/BGE-M3/lexemes/zeitung/s29644,1024.0,True
